measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Argentina,Both,65-69 years,Years,2021,17.000187104272026,17.133381883050458,16.86210925522368
Life expectancy,Botswana,Both,65-69 years,Years,2021,10.310949245429967,11.343748196306699,9.5162291454832
Life expectancy,Portugal,Both,65-69 years,Years,2021,20.188983074899607,20.274509931547897,20.103509291965498
Life expectancy,Taiwan (Province of China),Both,65-69 years,Years,2021,20.75277473671787,20.82777891563762,20.67210760078099
Life expectancy,Seychelles,Both,65-69 years,Years,2021,15.549871355216059,16.0600859884181,15.014826390767862
Life expectancy,Cambodia,Both,65-69 years,Years,2021,13.135999754912971,14.544028273542178,11.996376994128104
Life expectancy,Chile,Both,65-69 years,Years,2021,19.01984454806623,19.084727342285028,18.951858916813396
Life expectancy,Uruguay,Both,65-69 years,Years,2021,16.958788888936947,17.125534592029133,16.791472502451523
Life expectancy,Indonesia,Both,65-69 years,Years,2021,13.23023225076783,14.740683090571572,11.963662964252856
Life expectancy,Lesotho,Both,65-69 years,Years,2021,7.231835999983939,8.045161751503821,6.539596544535771
Life expectancy,Namibia,Both,65-69 years,Years,2021,9.935316504113478,10.775024129706521,9.17143355656701
Life expectancy,Burkina Faso,Both,65-69 years,Years,2021,11.655362447838607,12.563687665148688,10.707635638503833
Life expectancy,Cameroon,Both,65-69 years,Years,2021,11.281268265491143,12.267397894207397,10.024688027217833
Life expectancy,Antigua and Barbuda,Both,65-69 years,Years,2021,15.619829183728468,15.75465967516623,15.489996906032184
Life expectancy,Bahamas,Both,65-69 years,Years,2021,14.37777424253268,15.424637202393358,13.348180670686634
Life expectancy,Thailand,Both,65-69 years,Years,2021,18.85602385050662,20.80362405457365,17.093341642454718
Life expectancy,Guinea,Both,65-69 years,Years,2021,11.289204503365367,12.451830512485557,10.157212820492607
Life expectancy,Guinea-Bissau,Both,65-69 years,Years,2021,9.930946882970725,11.06208250068525,9.11595546494768
Life expectancy,Grenada,Both,65-69 years,Years,2021,13.119406194094227,14.494597569068262,11.214501267997585
Life expectancy,Guyana,Both,65-69 years,Years,2021,12.000228050690424,14.339473294506465,9.75997754854371
Life expectancy,Senegal,Both,65-69 years,Years,2021,12.22637421769667,13.246675964114559,11.137281694242452
Life expectancy,Sierra Leone,Both,65-69 years,Years,2021,12.373740842158291,13.523937532800677,11.240526577176817
Life expectancy,Micronesia (Federated States of),Both,65-69 years,Years,2021,13.075615850906209,14.229115662323865,11.661594466751424
Life expectancy,Papua New Guinea,Both,65-69 years,Years,2021,11.61939968944844,13.476439188171003,9.800299806934161
Life expectancy,Benin,Both,65-69 years,Years,2021,12.498743439705848,13.293957770513893,11.597145567078133
Life expectancy,Bolivia (Plurinational State of),Both,65-69 years,Years,2021,11.444356036053756,12.25723091060466,10.477138485620564
Life expectancy,Dominican Republic,Both,65-69 years,Years,2021,17.478035157082235,18.526240813289835,16.41154081220223
Life expectancy,Bermuda,Both,65-69 years,Years,2021,18.948719930110965,19.930256288500654,17.692928007216015
Life expectancy,El Salvador,Both,65-69 years,Years,2021,16.95799567873746,18.114735570910046,15.835802636015924
Life expectancy,Guatemala,Both,65-69 years,Years,2021,14.752917449295364,15.47611829154151,14.036057954295822
Life expectancy,Suriname,Both,65-69 years,Years,2021,15.835272241331085,17.629729573555423,13.15596099888035
Life expectancy,Cook Islands,Both,65-69 years,Years,2021,17.263835531893807,18.318880661621385,16.31189634135756
Life expectancy,Brazil,Both,65-69 years,Years,2021,17.176636166735094,17.230334368139296,17.120208788671345
Life expectancy,Niue,Both,65-69 years,Years,2021,14.157178779280908,15.08878306975964,13.530791734198184
Life expectancy,Northern Mariana Islands,Both,65-69 years,Years,2021,14.682302671458066,16.008065962956593,13.788586370578855
Life expectancy,Tuvalu,Both,65-69 years,Years,2021,13.605723351290202,14.288781905101205,12.683413315948258
Life expectancy,United States Virgin Islands,Both,65-69 years,Years,2021,19.2012429576021,20.95048350154971,17.053457074691448
Life expectancy,Philippines,Both,65-69 years,Years,2021,13.203466000046188,13.89106828438678,12.543162953327213
Life expectancy,Iran (Islamic Republic of),Both,65-69 years,Years,2021,15.459024589425542,15.623292087800694,15.304099972847018
Life expectancy,Armenia,Both,65-69 years,Years,2021,15.91599555834101,16.502762220961667,15.340093810722806
Life expectancy,Iraq,Both,65-69 years,Years,2021,13.299355888917631,14.601837697402237,12.325384295943564
Life expectancy,Palestine,Both,65-69 years,Years,2021,14.580367273495785,15.32955304333923,13.849668799724514
Life expectancy,Ghana,Both,65-69 years,Years,2021,12.181637676506147,13.26354506998061,11.188698986348065
Life expectancy,Nigeria,Both,65-69 years,Years,2021,13.383001012134347,14.066473451690117,12.526388274762914
Life expectancy,Tajikistan,Both,65-69 years,Years,2021,13.646386684771779,14.668550712715547,12.778719240621859
Life expectancy,Turkmenistan,Both,65-69 years,Years,2021,13.22397346061499,14.555632472728492,12.054530865951675
Life expectancy,Trinidad and Tobago,Both,65-69 years,Years,2021,15.23940364557565,17.37084992749935,13.182012716280228
Life expectancy,Colombia,Both,65-69 years,Years,2021,17.917658470065746,18.96218377029555,16.94479674096485
Life expectancy,Oman,Both,65-69 years,Years,2021,13.896530999104547,14.723229497261116,13.067494101377262
Life expectancy,United Arab Emirates,Both,65-69 years,Years,2021,13.739637575521035,14.836063237162334,12.796172099940604
Life expectancy,Czechia,Both,65-69 years,Years,2021,17.031650060306706,17.174844972938587,16.88806536176453
Life expectancy,Sao Tome and Principe,Both,65-69 years,Years,2021,13.58944374426604,14.002615571867139,13.125568330532035
Life expectancy,United Kingdom,Both,65-69 years,Years,2021,19.28657849832823,19.325618104598576,19.248620115083355
Life expectancy,Zambia,Both,65-69 years,Years,2021,9.396681812448676,10.54621867804757,8.498079076693529
Life expectancy,Sudan,Both,65-69 years,Years,2021,13.24218919998346,14.64172136855128,11.79047535570544
Life expectancy,Democratic People's Republic of Korea,Both,65-69 years,Years,2021,15.771989941259537,16.799405527021023,14.797669432720589
Life expectancy,Hungary,Both,65-69 years,Years,2021,15.694846632720123,15.784693777651198,15.611614692704928
Life expectancy,Slovakia,Both,65-69 years,Years,2021,15.470442160775212,15.581201834714403,15.365231352012186
Life expectancy,Yemen,Both,65-69 years,Years,2021,12.375589642313823,13.871743226420044,10.874222549254473
