country,code,average_life_expectancy,percentage_heavy_drinkers,region,sub-region
Afghanistan,AFG,61.98,0.13,Asia,Southern Asia
Albania,ALB,76.46,1.98,Europe,Southern Europe
Algeria,DZA,76.38,0.25,Africa,Northern Africa
American Samoa,ASM,72.54,0.43,Oceania,Polynesia
Andorra,AND,80.37,4.18,Europe,Southern Europe
Angola,AGO,61.64,3.09,Africa,Sub-Saharan Africa
Antigua and Barbuda,ATG,78.5,3.13,Americas,Latin America and the Caribbean
Argentina,ARG,75.39,2.59,Americas,Latin America and the Caribbean
Armenia,ARM,72.04,1.98,Asia,Western Asia
Australia,AUS,84.53,4.39,Oceania,Australia and New Zealand
Austria,AUT,81.58,4.87,Europe,Western Europe
Azerbaijan,AZE,69.37,2.34,Asia,Western Asia
Bahamas,BHS,71.6,2.85,Americas,Latin America and the Caribbean
Bahrain,BHR,78.76,0.33,Asia,Western Asia
Bangladesh,BGD,72.38,0.75,Asia,Southern Asia
Barbados,BRB,77.57,3.07,Americas,Latin America and the Caribbean
Belarus,BLR,72.44,4.69,Europe,Eastern Europe
Belgium,BEL,81.88,4.62,Europe,Western Europe
Belize,BLZ,70.47,3.2,Americas,Latin America and the Caribbean
Benin,BEN,59.82,1.6,Africa,Sub-Saharan Africa
Bermuda,BMU,79.28,2.9,Americas,Northern America
Bhutan,BTN,71.82,1.19,Asia,Southern Asia
Bolivia,BOL,63.63,1.85,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,75.3,3.21,Europe,Southern Europe
Botswana,BWA,61.14,1.31,Africa,Sub-Saharan Africa
Brazil,BRA,72.75,2.85,Americas,Latin America and the Caribbean
Brunei,BRN,74.64,0.57,Asia,South-eastern Asia
Bulgaria,BGR,71.8,4.62,Europe,Eastern Europe
Burkina Faso,BFA,59.27,2.85,Africa,Sub-Saharan Africa
Burundi,BDI,61.66,3.57,Africa,Sub-Saharan Africa
Cambodia,KHM,69.58,4.3,Asia,South-eastern Asia
Cameroon,CMR,60.33,2.88,Africa,Sub-Saharan Africa
Canada,CAN,82.66,3.96,Americas,Northern America
Central African Republic,CAF,53.89,2.29,Africa,Sub-Saharan Africa
Chad,TCD,52.53,2.37,Africa,Sub-Saharan Africa
Chile,CHL,78.94,4.23,Americas,Latin America and the Caribbean
China,CHN,78.21,2.96,Asia,Eastern Asia
Colombia,COL,72.83,1.42,Americas,Latin America and the Caribbean
Comoros,COM,63.42,0.95,Africa,Sub-Saharan Africa
Congo,COG,63.52,3.26,Africa,Sub-Saharan Africa
Cook Islands,COK,74.76,3.94,Oceania,Polynesia
Costa Rica,CRI,77.02,3.0,Americas,Latin America and the Caribbean
Croatia,HRV,77.58,4.2,Europe,Southern Europe
Cuba,CUB,73.68,2.52,Americas,Latin America and the Caribbean
Cyprus,CYP,81.2,2.24,Asia,Western Asia
Czechia,CZE,77.73,4.28,Europe,Eastern Europe
Democratic Republic of Congo,COD,59.19,2.18,Africa,Sub-Saharan Africa
Denmark,DNK,81.38,4.9,Europe,Northern Europe
Djibouti,DJI,62.3,0.72,Africa,Sub-Saharan Africa
Dominican Republic,DOM,72.61,2.68,Americas,Latin America and the Caribbean
Dominican Republic,DOM,72.61,3.12,Americas,Latin America and the Caribbean
Ecuador,ECU,73.67,1.88,Americas,Latin America and the Caribbean
Egypt,EGY,70.22,0.35,Africa,Northern Africa
El Salvador,SLV,70.75,4.14,Americas,Latin America and the Caribbean
Equatorial Guinea,GNQ,60.59,2.39,Africa,Sub-Saharan Africa
Eritrea,ERI,66.54,1.46,Africa,Sub-Saharan Africa
Estonia,EST,77.14,6.03,Europe,Northern Europe
Eswatini,SWZ,57.07,1.91,Africa,Sub-Saharan Africa
Ethiopia,ETH,64.97,2.08,Africa,Sub-Saharan Africa
Fiji,FJI,67.11,0.66,Oceania,Melanesia
Finland,FIN,82.04,5.53,Europe,Northern Europe
France,FRA,82.5,5.33,Europe,Western Europe
Gabon,GAB,65.82,3.66,Africa,Sub-Saharan Africa
