Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2013","2013","kg/cap","84.96","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2805","Rice (Milled Equivalent)","2013","2013","kg/cap","12.65","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2513","Barley and products","2013","2013","kg/cap","0.46","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2514","Maize and products","2013","2013","kg/cap","18.95","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2515","Rye and products","2013","2013","kg/cap","1.14","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2516","Oats","2013","2013","kg/cap","0.73","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2520","Cereals, Other","2013","2013","kg/cap","0.48","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2532","Cassava and products","2013","2013","kg/cap","0.36","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2013","2013","kg/cap","71.07","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2533","Sweet potatoes","2013","2013","kg/cap","1.4","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2535","Yams","2013","2013","kg/cap","0.45","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2534","Roots, Other","2013","2013","kg/cap","0.21","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2542","Sugar (Raw Equivalent)","2013","2013","kg/cap","32.29","E","Estimated value"
