measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Portugal,Both,50-54 years,Years,2021,33.03676783372418,33.14884853870144,32.92647874445402
Life expectancy,Spain,Both,50-54 years,Years,2021,34.13073030884297,34.20197022000437,34.06191925340966
Life expectancy,Seychelles,Both,50-54 years,Years,2021,27.246906064925845,27.953885612856897,26.484784184817652
Life expectancy,Chile,Both,50-54 years,Years,2021,31.44794199872205,31.532186983096604,31.36126463311679
Life expectancy,Uruguay,Both,50-54 years,Years,2021,28.832731832784187,29.043815809304654,28.615305070092695
Life expectancy,Argentina,Both,50-54 years,Years,2021,28.989661152273705,29.157127594524567,28.813634728695337
Life expectancy,Botswana,Both,50-54 years,Years,2021,19.106970844195327,20.538488536913484,17.796714175967782
Life expectancy,Lesotho,Both,50-54 years,Years,2021,13.765694527311888,15.23178648866756,12.454586702354021
Life expectancy,Namibia,Both,50-54 years,Years,2021,18.74425497008715,20.12463670565462,17.425999015115448
Life expectancy,Antigua and Barbuda,Both,50-54 years,Years,2021,27.616886676105334,27.673210407776867,27.578934197909575
Life expectancy,The Bahamas,Both,50-54 years,Years,2021,25.09389736839549,26.526112137638478,23.63408002228573
Life expectancy,Benin,Both,50-54 years,Years,2021,22.838301454257575,24.088424851522078,21.457711033880862
Life expectancy,Burkina Faso,Both,50-54 years,Years,2021,21.6076890163472,23.009446169649127,20.176436148828
Life expectancy,Cameroon,Both,50-54 years,Years,2021,20.90412119229414,22.477455277083227,19.04514029454292
Life expectancy,Dominican Republic,Both,50-54 years,Years,2021,28.933260214909286,30.343572382010315,27.460036878998817
Life expectancy,Ghana,Both,50-54 years,Years,2021,22.364241168368526,23.961941275546835,20.848170593706634
Life expectancy,Guyana,Both,50-54 years,Years,2021,21.555917092083266,24.663892693733345,18.525032763935698
Life expectancy,Guinea-Bissau,Both,50-54 years,Years,2021,18.761993817159862,20.54359350490014,17.31423597314864
Life expectancy,Grenada,Both,50-54 years,Years,2021,23.961994420900005,25.82232902726534,21.37129824696796
Life expectancy,Suriname,Both,50-54 years,Years,2021,26.593885289279644,28.857273370864096,23.30734140015946
Life expectancy,Cambodia,Both,50-54 years,Years,2021,23.9890634405807,25.982180745913272,22.15142510718027
Life expectancy,Guinea,Both,50-54 years,Years,2021,21.126433956637424,22.821409723142015,19.3904606770143
