Country,Criteria,Score
Dominican Republic,Mood & Outlook,91
United Kingdom,Mood & Outlook,48
Canada,Mood & Outlook,66
Yemen,Mood & Outlook,56
Singapore,Mood & Outlook,75
France,Mood & Outlook,68
United States,Mood & Outlook,71
Dominican Republic,Social Adaptability,94
United Kingdom,Social Adaptability,64
Canada,Social Adaptability,76
Yemen,Social Adaptability,58
Singapore,Social Adaptability,81
France,Social Adaptability,76
United States,Social Adaptability,80
Dominican Republic,Self & Resilience,108
United Kingdom,Self & Resilience,65
Canada,Self & Resilience,80
Yemen,Self & Resilience,68
Singapore,Self & Resilience,85
France,Self & Resilience,83
United States,Self & Resilience,83
Dominican Republic,Drive & Motivation,101
United Kingdom,Drive & Motivation,66
Canada,Drive & Motivation,66
Yemen,Drive & Motivation,61
Singapore,Drive & Motivation,84
France,Drive & Motivation,72
United States,Drive & Motivation,71
Dominican Republic,Cognition Mind-Body Connection,94
United Kingdom,Cognition Mind-Body Connection,67
Canada,Cognition Mind-Body Connection,73
Yemen,Cognition Mind-Body Connection,67
Singapore,Cognition Mind-Body Connection,87
France,Cognition Mind-Body Connection,80
United States,Cognition Mind-Body Connection,81
